Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
IMf20_,BillClintonEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",1,0.0,0,25
IMf20_,AlignmentEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",1,0.0,0,23
Alpha+_,BillClintonEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",1,0.0,0,1
Alpha+_,BillClintonEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",2,0.0,0,1
Alpha+_,BillClintonEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",3,0.0,0,1
Alpha+_,BillClintonEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",4,0.0,0,1
Alpha+_,AlignmentEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",1,0.0,0,0
Alpha+_,AlignmentEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",2,0.0,0,0
Alpha+_,AlignmentEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",3,0.0,0,0
Alpha+_,AlignmentEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",4,0.0,0,0
Heuristic_,BillClintonEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",1,0.0,0,5
Heuristic_,BillClintonEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",2,0.0,0,15
Heuristic_,BillClintonEstimator,"('Declaration REJECTED by PRE_APPROVER', 'Declaration SAVED by EMPLOYEE', 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration FOR_APPROVAL by PRE_APPROVER')",3,0.0,0,25
