Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",1,7.022960314026386e-05,0.0006320664282623747,9,0.9926470588235294
IMf20_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",2,0.00010960760760418906,0.004932342342188508,45,0.9926470588235294
IMf20_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",3,0.0001363521260216225,0.017589424256789304,129,0.9926470588235295
IMf20_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",4,0.00015145629781395688,0.038621355942559006,255,0.9926470588235294
IMf20_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",1,0.13721513155470524,1.2349361839923472,9,0.2197916666666667
IMf20_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",2,0.16411327886750932,7.385097549037919,45,0.2197916666666667
IMf20_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",3,0.15495846117385825,19.989641491427715,129,0.21979166666666672
IMf20_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",4,0.13189811340720273,33.634018918836695,255,0.2197916666666667
Heuristic_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",1,0.0,0.0,2,1.0
Heuristic_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",2,0.0,0.0,3,1.0
Heuristic_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",3,0.0,0.0,3,0.0
Heuristic_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",4,0.0,0.0,3,0.0
Heuristic_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",1,0.0,0.0,2,1.0
Heuristic_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",2,0.0,0.0,3,1.0
Heuristic_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",3,0.0,0.0,3,0.0
Heuristic_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",4,0.0,0.0,3,0.0
Flower_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",1,4.3564762963756804e-07,3.920828666738112e-06,9,0.9976166155941278
Flower_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE')",2,8.102630498216503e-07,3.6461837241974265e-05,45,0.9979008105395837
