Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by MISSING', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR')",1,0.0,0,17,0
IMf20_,BillClintonEstimator,"('Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by MISSING', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR')",2,0.0,0,148,0
IMf20_,BillClintonEstimator,"('Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by MISSING', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR')",3,0.0,0,759,0
IMf20_,AlignmentEstimator,"('Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by MISSING', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR')",1,0.0,0,17,0
IMf20_,AlignmentEstimator,"('Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by MISSING', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR')",2,0.0,0,148,0
IMf20_,AlignmentEstimator,"('Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by MISSING', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR')",3,0.0,0,759,0
Alpha+_,BillClintonEstimator,"('Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by MISSING', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR')",1,0.0,0,0,0
Alpha+_,BillClintonEstimator,"('Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by MISSING', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR')",2,0.0,0,0,0
Alpha+_,BillClintonEstimator,"('Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by MISSING', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR')",3,0.0,0,0,0
Alpha+_,BillClintonEstimator,"('Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by MISSING', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR')",4,0.0,0,0,0
