Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
IMf20_,BillClintonEstimator,"('Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration APPROVED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by DIRECTOR', 'Permit REJECTED by SUPERVISOR')",1,0.0,0,57
IMf20_,AlignmentEstimator,"('Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration APPROVED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by DIRECTOR', 'Permit REJECTED by SUPERVISOR')",1,0.0,0,56
Alpha+_,BillClintonEstimator,"('Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration APPROVED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by DIRECTOR', 'Permit REJECTED by SUPERVISOR')",1,0.0,0,0
Alpha+_,BillClintonEstimator,"('Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration APPROVED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by DIRECTOR', 'Permit REJECTED by SUPERVISOR')",2,0.0,0,0
Alpha+_,BillClintonEstimator,"('Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration APPROVED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by DIRECTOR', 'Permit REJECTED by SUPERVISOR')",3,0.0,0,0
Alpha+_,BillClintonEstimator,"('Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration APPROVED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by DIRECTOR', 'Permit REJECTED by SUPERVISOR')",4,0.0,0,0
Alpha+_,AlignmentEstimator,"('Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration APPROVED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by DIRECTOR', 'Permit REJECTED by SUPERVISOR')",1,0.0,0,0
Alpha+_,AlignmentEstimator,"('Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration APPROVED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by DIRECTOR', 'Permit REJECTED by SUPERVISOR')",2,0.0,0,0
Alpha+_,AlignmentEstimator,"('Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration APPROVED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by DIRECTOR', 'Permit REJECTED by SUPERVISOR')",3,0.0,0,0
Alpha+_,AlignmentEstimator,"('Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration APPROVED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by BUDGET OWNER', 'Permit REJECTED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration REJECTED by DIRECTOR', 'Permit REJECTED by SUPERVISOR')",4,0.0,0,0
