Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.12212312615673004,1.9539700185076807,16,0.9768791511042223
IMf20_,BillClintonEstimator,"('Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.19786243072179138,26.909290578163628,136,1.0000000000000004
IMf20_,AlignmentEstimator,"('Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.043303123347651254,0.6928499735624201,16,0.06863306883643656
IMf20_,AlignmentEstimator,"('Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.04402299161880834,5.987126860157934,136,1.0000000000000004
Flower_,BillClintonEstimator,"('Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,7.5360003135339206e-06,0.00012057600501654273,16,0.9923021060276497
Flower_,BillClintonEstimator,"('Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,1.4760396130964562e-05,0.0020074138738111805,136,0.9938935726115162
Flower_,BillClintonEstimator,"('Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",3,2.216420904541745e-05,0.015426289495610547,696,0.9944278340854028
Flower_,AlignmentEstimator,"('Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.038587179387394,0.617394870198304,16,0.07298054576126388
Flower_,AlignmentEstimator,"('Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.02718652968751525,3.697368037502074,136,0.10410172083406787
Flower_,AlignmentEstimator,"('Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",3,0.01593899554865204,11.093540901861822,696,0.13080303746216992
